"TeamName","LastActivityDate","OwnerUPN","OwnerDisplayName"
"Mark 8 Project Team","6/28/2024 2:25:51 PM","admin@MODERNCOMMS665773.onmicrosoft.com","MOD Administrator"
"Mark 8 Project Team","6/28/2024 2:25:51 PM","NestorW@MODERNCOMMS665773.OnMicrosoft.com","Nestor Wilke"
"Mark 8 Project Team","6/28/2024 2:25:51 PM","MeganB@MODERNCOMMS665773.OnMicrosoft.com","Megan Bowen"
"Communications","6/28/2024 2:34:23 PM","admin@MODERNCOMMS665773.onmicrosoft.com","MOD Administrator"
"Communications","6/28/2024 2:34:23 PM","MeganB@MODERNCOMMS665773.OnMicrosoft.com","Megan Bowen"
"Communications","6/28/2024 2:34:23 PM","DiegoS@MODERNCOMMS665773.OnMicrosoft.com","Diego Siciliani"
"Retail","6/28/2024 2:27:59 PM","admin@MODERNCOMMS665773.onmicrosoft.com","MOD Administrator"
"Retail","6/28/2024 2:27:59 PM","NestorW@MODERNCOMMS665773.OnMicrosoft.com","Nestor Wilke"
"Retail","6/28/2024 2:27:59 PM","MeganB@MODERNCOMMS665773.OnMicrosoft.com","Megan Bowen"
"Remote living","6/28/2024 2:33:59 PM","admin@MODERNCOMMS665773.onmicrosoft.com","MOD Administrator"
"Sales and Marketing","6/28/2024 2:28:54 PM","admin@MODERNCOMMS665773.onmicrosoft.com","MOD Administrator"
"Sales and Marketing","6/28/2024 2:28:54 PM","NestorW@MODERNCOMMS665773.OnMicrosoft.com","Nestor Wilke"
"Sales and Marketing","6/28/2024 2:28:54 PM","JohannaL@MODERNCOMMS665773.OnMicrosoft.com","Johanna Lorenz"
"Sales and Marketing","6/28/2024 2:28:54 PM","IsaiahL@MODERNCOMMS665773.OnMicrosoft.com","Isaiah Langer"
"Sales and Marketing","6/28/2024 2:28:54 PM","MeganB@MODERNCOMMS665773.OnMicrosoft.com","Megan Bowen"
"Sales and Marketing","6/28/2024 2:28:54 PM","MiriamG@MODERNCOMMS665773.OnMicrosoft.com","Miriam Graham"
"U.S. Sales","6/28/2024 2:30:19 PM","admin@MODERNCOMMS665773.onmicrosoft.com","MOD Administrator"
"U.S. Sales","6/28/2024 2:30:19 PM","IsaiahL@MODERNCOMMS665773.OnMicrosoft.com","Isaiah Langer"
"U.S. Sales","6/28/2024 2:30:19 PM","MeganB@MODERNCOMMS665773.OnMicrosoft.com","Megan Bowen"
"Design","6/28/2024 2:32:06 PM","admin@MODERNCOMMS665773.onmicrosoft.com","MOD Administrator"
"Design","6/28/2024 2:32:06 PM","ChristieC@MODERNCOMMS665773.OnMicrosoft.com","Christie Cline"
"Design","6/28/2024 2:32:06 PM","MeganB@MODERNCOMMS665773.OnMicrosoft.com","Megan Bowen"
"Contoso marketing","6/28/2024 2:31:43 PM","admin@MODERNCOMMS665773.onmicrosoft.com","MOD Administrator"
